Incident_ID,Incident_Date,State,City_Or_County,__Victims_Injured,__Victims_Killed
2477622,"December 8, 2022",Michigan,Detroit,4,0
2361849,"July 17, 2022",Michigan,Detroit,4,0
2334374,"June 19, 2022",Michigan,"Grand Rapids",4,0
2297823,"May 9, 2022",Michigan,Detroit,4,0
2361609,"July 17, 2022",Michigan,"Grand Rapids",4,0
2398608,"August 16, 2022",Michigan,"Paw Paw",4,0
2257132,"March 17, 2022",Michigan,Lansing,4,0
2400998,"August 29, 2022",Missouri,"St. Louis (Jennings)",4,0
2231921,"February 11, 2022",Missouri,Springfield,4,0
2443879,"October 24, 2022",Missouri,"St. Louis",4,2
2434151,"October 8, 2022",Missouri,"St. Joseph",4,0
2348750,"July 4, 2022",Missouri,"Kansas City",4,0
2202025,"January 1, 2022",Missouri,Columbia,4,0
2238657,"February 20, 2022",Nebraska,Omaha,4,0
2363589,"July 19, 2022",Nebraska,Lincoln,4,0
2454281,"November 5, 2022","New York",Buffalo,4,0
2362141,"July 17, 2022","New York",Brooklyn,4,0
2399576,"August 27, 2022","New York",Brooklyn,4,1
2420406,"September 20, 2022","New York","Mount Vernon",4,0
2438494,"October 15, 2022","New York",Freeport,4,0
2480430,"December 13, 2022","New York",Rochester,4,1
2425393,"September 27, 2022","New York","Corona (Queens)",4,0
2426137,"September 27, 2022","New York","New York (Manhattan)",4,0
2280017,"April 16, 2022","New York",Syracuse,4,1
2349758,"July 4, 2022","New York","Corona (Queens)",4,0
2411007,"September 9, 2022","New York",Bronx,4,0
2404930,"September 2, 2022","New York",Brooklyn,4,0
2340297,"June 25, 2022","New York",Brooklyn,4,0
2269429,"April 3, 2022","New York",Buffalo,4,0
2479678,"December 12, 2022","New York",Bronx,4,0
2475554,"December 6, 2022","New York",Bronx,4,0
2483594,"December 18, 2022",Oklahoma,"Oklahoma City",4,0
2413596,"September 12, 2022",Oklahoma,"Oklahoma City",4,0
2382827,"August 8, 2022",Virginia,Richmond,4,0
2257674,"March 19, 2022",Virginia,"Madison Heights",4,1
2348191,"July 3, 2022",Virginia,Manassas,4,0
2227035,"February 4, 2022",Virginia,Blacksburg,4,1
2379316,"August 5, 2022",Virginia,Norfolk,4,0
2328117,"June 12, 2022",Louisiana,"New Orleans",4,0
2268762,"April 2, 2022",Louisiana,Monroe,4,1
2215256,"January 19, 2022",Louisiana,"New Orleans",4,0
2488209,"December 26, 2022",Louisiana,"New Orleans",4,2
2248613,"March 6, 2022",Louisiana,Monroe,4,0
2369720,"July 25, 2022",Louisiana,"New Orleans",4,0
2477404,"December 8, 2022",Louisiana,"New Orleans",4,0
2275242,"April 10, 2022",Louisiana,"Baton Rouge",4,0
2243285,"February 27, 2022",Louisiana,Alexandria,4,0
2296037,"May 6, 2022",Louisiana,"New Orleans",4,2
2352349,"July 6, 2022",Minnesota,"St. Cloud",4,0
2358856,"July 13, 2022",Minnesota,Minneapolis,4,0
2405020,"September 2, 2022",Minnesota,Minneapolis,4,0
2410704,"September 8, 2022",Minnesota,Minneapolis,4,0
2340347,"June 25, 2022",Minnesota,Minneapolis,4,0
2232351,"February 12, 2022",Tennessee,Murfreesboro,4,1
2212203,"January 15, 2022",Tennessee,Knoxville,4,0
2459156,"November 12, 2022",Tennessee,Memphis,4,0
2428950,"October 2, 2022",Tennessee,Nashville,4,0
2249608,"March 7, 2022",Tennessee,Knoxville,4,0
2314951,"May 28, 2022",Tennessee,Memphis,4,0
2399774,"August 28, 2022",Wisconsin,Clinton,4,0
2443276,"October 23, 2022",Wisconsin,Milwaukee,4,0
2414276,"September 14, 2022",Wisconsin,Milwaukee,4,0
2416625,"September 16, 2022",Wisconsin,Milwaukee,4,0
2258324,"March 20, 2022",Wisconsin,Milwaukee,4,0
2380017,"August 5, 2022",Wisconsin,Milwaukee,4,0
2349746,"July 4, 2022",Wisconsin,Kenosha,4,1
2348230,"July 4, 2022",California,Sacramento,4,1
2207435,"January 9, 2022",California,Fresno,4,0
2328374,"June 12, 2022",California,"Los Angeles",4,3
2286089,"April 23, 2022",California,"San Bernardino",4,1
2415479,"September 13, 2022",California,Oakland,4,0
2333154,"June 16, 2022",California,Oakland,4,1
2222766,"January 29, 2022",California,Bakersfield,4,0
2424602,"September 23, 2022",California,Castroville,4,0
2439294,"October 16, 2022",California,Lancaster,4,0
2414858,"September 14, 2022",California,"Los Angeles",4,0
2207931,"January 9, 2022",California,"Los Angeles",4,1
2410269,"September 8, 2022",California,"Los Angeles",4,0
2225493,"February 2, 2022",California,Oroville,4,1
2467743,"November 24, 2022",California,"Costa Mesa",4,1
2232287,"February 12, 2022",California,"West Hollywood",4,0
2377855,"August 3, 2022",California,"Panorama City",4,1
2458933,"November 12, 2022",California,Sacramento,4,0
2362282,"July 17, 2022","New Jersey",Newark,4,0
2344008,"June 29, 2022","New Jersey","Jersey City",4,0
2458086,"November 11, 2022","New Jersey","Jersey City",4,0
2300830,"May 11, 2022","New Jersey",Paterson,4,1
2458467,"November 12, 2022","New Jersey",Paterson,4,0
2373646,"July 29, 2022","New Mexico",Albuquerque,4,1
2360288,"June 11, 2022","New Mexico",Alamogordo,4,0
2308395,"May 21, 2022",Washington,Tacoma,4,0
2386151,"August 13, 2022",Washington,Renton,4,0
2428715,"October 2, 2022",Washington,Seattle,4,0
2348263,"July 3, 2022",Washington,Tacoma,4,0
2397504,"August 25, 2022",Washington,Spokane,4,0
2375097,"July 31, 2022",Connecticut,Hartford,4,0
2259262,"March 21, 2022",Connecticut,Waterbury,4,0
2358053,"July 11, 2022",Mississippi,Jackson,4,0
2291534,"April 29, 2022",Mississippi,Laurel,4,0
2272394,"April 6, 2022",Pennsylvania,Philadelphia,4,0
2358938,"July 13, 2022",Pennsylvania,Philadelphia,4,0
2359229,"July 14, 2022",Pennsylvania,Philadelphia,4,0
2458727,"November 13, 2022",Pennsylvania,Philadelphia,4,0
2380783,"August 6, 2022",Pennsylvania,Duquesne,4,0
2298519,"May 10, 2022",Pennsylvania,Philadelphia,4,0
2344201,"June 29, 2022",Pennsylvania,Philadelphia,4,0
2427999,"October 1, 2022",Pennsylvania,Philadelphia,4,0
2391042,"August 17, 2022",Pennsylvania,Philadelphia,4,0
2466431,"November 23, 2022",Pennsylvania,Philadelphia,4,0
2281171,"April 17, 2022",Pennsylvania,Philadelphia,4,0
2312678,"May 25, 2022",Pennsylvania,Philadelphia,4,0
2437284,"October 14, 2022",Pennsylvania,Philadelphia,4,0
2201629,"January 1, 2022",Pennsylvania,Philadelphia,4,1
2423747,"September 25, 2022",Pennsylvania,Harrisburg,4,0
2248066,"March 6, 2022",Pennsylvania,Hazleton,4,1
2406852,"September 5, 2022",Pennsylvania,Philadelphia,4,2
2361490,"July 16, 2022",Pennsylvania,Philadelphia,4,0
2236155,"February 17, 2022",Pennsylvania,Philadelphia,4,0
2425199,"September 27, 2022",Pennsylvania,Philadelphia,4,1
2348163,"July 4, 2022",Massachusetts,Boston,4,0
2358329,"July 12, 2022",Massachusetts,Boston,4,0
2354111,"July 8, 2022","North Carolina",Greensboro,4,0
2426061,"September 27, 2022","North Carolina",Goldsboro,4,0
2393051,"August 20, 2022","North Carolina",Asheville,4,0
2445939,"October 25, 2022","North Carolina",Greensboro,4,2
2304029,"May 15, 2022","North Carolina","Elizabeth City",4,0
2285612,"April 23, 2022","North Carolina","Rocky Mount",4,0
2367289,"July 23, 2022","North Carolina",Pinebluff,4,1
2228660,"February 6, 2022","North Carolina",Wilmington,4,0
2437177,"October 13, 2022","North Carolina","New Bern",4,0
2269259,"April 1, 2022","South Carolina",Walterboro,4,0
2361097,"July 16, 2022","South Carolina","North Charleston",4,0
2448372,"October 30, 2022","South Carolina",Charleston,4,0
2347373,"July 3, 2022","South Carolina",Mullins,4,0
2252792,"March 13, 2022","South Carolina",Columbia,4,1
2488952,"December 27, 2022","District of Columbia",Washington,4,0
2274855,"April 9, 2022","District of Columbia",Washington,4,0
2284819,"April 22, 2022","District of Columbia",Washington,4,0
2220985,"January 27, 2022","District of Columbia",Washington,4,1
2311123,"May 23, 2022",Ohio,Cleveland,5,0
2425825,"September 28, 2022",Ohio,Columbus,5,0
2489345,"December 27, 2022",Ohio,Columbus,5,0
2441540,"October 20, 2022",Ohio,Cleveland,5,0
2434062,"October 9, 2022",Texas,Beaumont,5,0
2294477,"May 3, 2022",Texas,Beaumont,5,0
2483108,"December 16, 2022",Texas,Dallas,5,0
